mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
45482200000A,2022-05-09T00:08:51.000Z,0,0.0216,2.6944,9.7143,Infinity,Infinity,Infinity
,,1015.625,0.2467,0.4958,0.1868,0.0387,0.0777,0.0293
,,1018.75,0.1293,0.2587,0.1054,0.0202,0.0404,0.0165
,,1021.875,0.2491,0.6251,0.091,0.0388,0.0974,0.0142
,,1025,0.1054,0.1389,0.1341,0.0164,0.0216,0.0208
,,1028.125,0.1078,0.2754,0.0551,0.0167,0.0426,0.0085
,,1031.25,0.1509,0.3281,0.0647,0.0233,0.0506,0.01
,,1034.375,0.2395,0.5341,0.1844,0.0369,0.0822,0.0284
,,1037.5,0.1006,0.1557,0.0575,0.0154,0.0239,0.0088
,,1040.625,0.1988,0.4,0.0551,0.0304,0.0612,0.0084
,,1043.75,0.1724,0.5485,0.1078,0.0263,0.0836,0.0164
,,1046.875,0.2156,0.3856,0.1006,0.0328,0.0586,0.0153
,,1050,0.1006,0.2539,0.0551,0.0152,0.0385,0.0084
,,1053.125,0.1581,0.2443,0.0263,0.0239,0.0369,0.004
,,1056.25,0.2132,0.3664,0.091,0.0321,0.0552,0.0137
,,1059.375,0.1078,0.4335,0.0503,0.0162,0.0651,0.0076
,,1062.5,0.0719,0.0192,0.0719,0.0108,0.0029,0.0108
,,1065.625,0.0934,0.2084,0.0216,0.0139,0.0311,0.0032
,,1068.75,0.0958,0.2778,0.0359,0.0143,0.0414,0.0053
,,1071.875,0.0814,0.2395,0.0335,0.0121,0.0356,0.005
,,1075,0.2036,0.2994,0.1581,0.0301,0.0443,0.0234
,,1078.125,0.0527,0.1796,0.0814,0.0078,0.0265,0.012
,,1081.25,0.0623,0.1677,0.0575,0.0092,0.0247,0.0085
,,1084.375,0.0551,0.2754,0.0958,0.0081,0.0404,0.0141
,,1087.5,0.0431,0.1054,0.012,0.0063,0.0154,0.0018
,,1090.625,0.1461,0.376,0.0431,0.0213,0.0549,0.0063
,,1093.75,0.0479,0.2659,0.0431,0.007,0.0387,0.0063
,,1096.875,0.0671,0.1509,0.0623,0.0097,0.0219,0.009
,,1100,0.0431,0.0431,0.0479,0.0062,0.0062,0.0069
,,1103.125,0.1724,0.1413,0.103,0.0249,0.0204,0.0149
,,1106.25,0.0407,0.0695,0.0431,0.0059,0.01,0.0062
,,1109.375,0.0623,0.0982,0.0072,0.0089,0.0141,0.001
,,1112.5,0.1461,0.1916,0.0862,0.0209,0.0274,0.0123
,,1115.625,0.1006,0.0407,0.0958,0.0144,0.0058,0.0137
,,1118.75,0.0551,0.1389,0.0335,0.0078,0.0198,0.0048
,,1121.875,0.1006,0.1078,0.0168,0.0143,0.0153,0.0024
,,1125,0.1724,0.1677,0.1078,0.0244,0.0237,0.0153
