mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
454822000004,2022-04-27T03:27:07.000Z,0,3.8848,NaN,8.924,Infinity,NaN,Infinity
,,417.1875,0.0383,0,0.0479,0.0146,0,0.0183
,,418.75,0.0479,0.0551,0.024,0.0182,0.0209,0.0091
,,420.3125,0.0311,0.0383,0.024,0.0118,0.0145,0.0091
,,421.875,0.024,0.0719,0.0144,0.0091,0.0271,0.0054
,,423.4375,0.0263,0.0144,0.0335,0.0099,0.0054,0.0126
,,425,0.0263,0,0.0503,0.0098,0,0.0188
,,426.5625,0.0048,0.0479,0.0311,0.0018,0.0179,0.0116
,,428.125,0.012,0.0144,0.0168,0.0045,0.0054,0.0062
,,429.6875,0.0144,0.0383,0.0551,0.0053,0.0142,0.0204
,,431.25,0.0048,0.0263,0.0192,0.0018,0.0097,0.0071
,,432.8125,0.0263,0.0144,0.0287,0.0097,0.0053,0.0106
,,434.375,0.024,0.0263,0.0383,0.0088,0.0096,0.014
,,435.9375,0.0144,0.0527,0.0527,0.0053,0.0192,0.0192
,,437.5,0.0216,0.0431,0.0192,0.0079,0.0157,0.007
,,439.0625,0.0455,0.0647,0.0168,0.0165,0.0235,0.0061
,,440.625,0.0287,0.0551,0.0072,0.0104,0.0199,0.0026
,,442.1875,0.012,0.0359,NaN,0.0043,0.0129,NaN
,,443.75,0.024,0.0263,NaN,0.0086,0.0094,NaN
,,445.3125,0.0407,0.0431,NaN,0.0145,0.0154,NaN
,,446.875,0.0048,0.0335,NaN,0.0017,0.0119,NaN
,,448.4375,0.0216,0.0479,NaN,0.0077,0.017,NaN
,,450,0.0335,0.0407,NaN,0.0118,0.0144,NaN
,,451.5625,0.0287,0.0407,NaN,0.0101,0.0143,NaN
,,453.125,0.0072,0.024,NaN,0.0025,0.0084,NaN
,,454.6875,0,0.0192,NaN,0,0.0067,NaN
,,456.25,0.0311,0.0072,NaN,0.0108,0.0025,NaN
,,457.8125,0.0263,0.0144,NaN,0.0091,0.005,NaN
,,459.375,0.0527,0.0192,NaN,0.0183,0.0067,NaN
,,460.9375,0.0479,0.0072,0.0168,0.0165,0.0025,0.0058
,,462.5,0.0431,0.0431,0.0072,0.0148,0.0148,0.0025
,,464.0625,0.0407,0.0383,0.0072,0.014,0.0131,0.0025
,,465.625,0.0072,0.0479,0.0407,0.0025,0.0164,0.0139
,,467.1875,0.0479,0.0144,0.0407,0.0163,0.0049,0.0139
,,468.75,0.0383,0.0311,0.0168,0.013,0.0106,0.0057
,,470.3125,0.0383,0.0144,0.0144,0.013,0.0049,0.0049
,,471.875,0.0287,0.0335,0.0263,0.0097,0.0113,0.0089
,,473.4375,0.0192,0.0359,0.0144,0.0065,0.0121,0.0048
,,475,0.0383,0.0192,0.0144,0.0128,0.0064,0.0048
,,476.5625,0.0287,0.0168,0.0263,0.0096,0.0056,0.0088
