mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
45482200000A,2022-05-07T03:09:01.000Z,0,0.1269,2.8477,9.7024,Infinity,Infinity,Infinity
,,1018.75,0.0407,0.0335,0.0503,0.0064,0.0052,0.0079
,,1021.875,0.0886,0.1892,0.1126,0.0138,0.0295,0.0175
,,1025,0.1293,0.1389,0.0862,0.0201,0.0216,0.0134
,,1028.125,0.194,0.3138,0.1221,0.03,0.0486,0.0189
,,1031.25,0.0527,0.1198,0.0431,0.0081,0.0185,0.0067
,,1034.375,0.1389,0.3593,0.1198,0.0214,0.0553,0.0184
,,1037.5,0.1916,0.4766,0.0503,0.0294,0.0731,0.0077
,,1040.625,0.285,0.8311,0.1653,0.0436,0.1271,0.0253
,,1043.75,0.1772,0.2754,0.1605,0.027,0.042,0.0245
,,1046.875,0.0719,0.1533,0.0886,0.0109,0.0233,0.0135
,,1050,0.1509,0.467,0.0431,0.0229,0.0708,0.0065
,,1053.125,0.2659,0.5006,0.1461,0.0402,0.0757,0.0221
,,1056.25,0.1365,0.273,0.1892,0.0206,0.0411,0.0285
,,1059.375,0.079,0.1772,0.0479,0.0119,0.0266,0.0072
,,1062.5,0.2012,0.3976,0.1796,0.0301,0.0596,0.0269
,,1065.625,0.3257,0.6538,0.2539,0.0486,0.0976,0.0379
,,1068.75,0.1724,0.3712,0.1174,0.0257,0.0553,0.0175
,,1071.875,NaN,0.3114,0.1413,NaN,0.0462,0.021
,,1075,NaN,0.0575,0.1796,NaN,0.0085,0.0266
,,1078.125,NaN,0.0479,0.0647,NaN,0.0071,0.0096
,,1081.25,NaN,0.0599,0.0551,NaN,0.0088,0.0081
,,1084.375,NaN,0.2467,0.0383,NaN,0.0362,0.0056
,,1087.5,NaN,0.1653,0.0431,NaN,0.0242,0.0063
,,1090.625,NaN,0.4119,0.0814,NaN,0.0601,0.0119
,,1093.75,NaN,0.4934,0.0263,NaN,0.0718,0.0038
,,1096.875,NaN,0.3401,0.0168,NaN,0.0493,0.0024
,,1100,NaN,0.1317,0.0048,NaN,0.0191,0.0007
,,1103.125,NaN,0.309,0.0383,NaN,0.0446,0.0055
,,1106.25,NaN,0.2659,0.0311,NaN,0.0383,0.0045
,,1109.375,0.0623,0.1677,0.0503,0.0089,0.0241,0.0072
,,1112.5,0.0263,0.1245,0.0192,0.0038,0.0178,0.0027
,,1115.625,0.0359,0.1126,0.1102,0.0051,0.0161,0.0157
,,1118.75,0.0479,0.103,0.115,0.0068,0.0147,0.0164
,,1121.875,0.0671,0.0287,0.0766,0.0095,0.0041,0.0109
,,1125,0.0958,0.1389,0.0311,0.0136,0.0197,0.0044
,,1128.125,0.0623,0.1461,0.0335,0.0088,0.0206,0.0047
