mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
45482200000A,2022-04-28T03:10:06.000Z,0,0.2323,NaN,9.9035,Infinity,NaN,Infinity
,,1103.125,0.2156,0.2156,0.1198,0.0311,0.0311,0.0173
,,1106.25,0.1916,0.2898,0.0766,0.0276,0.0417,0.011
,,1109.375,0.1581,0.2323,0.0263,0.0227,0.0333,0.0038
,,1112.5,0.1078,0.0958,0.0335,0.0154,0.0137,0.0048
,,1115.625,0.0479,0.0934,0.0719,0.0068,0.0133,0.0103
,,1118.75,0.0479,0.0838,0.0431,0.0068,0.0119,0.0061
,,1121.875,0.0359,0.0814,0.1102,0.0051,0.0115,0.0156
,,1125,0.2108,0.4215,0.0431,0.0298,0.0596,0.0061
,,1128.125,0.103,0.1964,0.0287,0.0145,0.0277,0.004
,,1131.25,0.182,0.1485,0.0287,0.0256,0.0209,0.004
,,1134.375,0.0647,0.1317,0.0599,0.0091,0.0185,0.0084
,,1137.5,0.0934,0.2491,NaN,0.0131,0.0349,NaN
,,1140.625,0.1221,0.1964,NaN,0.017,0.0274,NaN
,,1143.75,0.0623,0.0838,NaN,0.0087,0.0117,NaN
,,1146.875,0.0407,0.0862,NaN,0.0056,0.012,NaN
,,1150,0.0599,0.1724,NaN,0.0083,0.0239,NaN
,,1153.125,0.0982,0.1964,NaN,0.0136,0.0271,NaN
,,1156.25,0.0479,0.1581,NaN,0.0066,0.0218,NaN
,,1159.375,0.0599,0.0958,NaN,0.0082,0.0132,NaN
,,1162.5,0.0862,0.2802,NaN,0.0118,0.0384,NaN
,,1165.625,0.0335,0.0263,NaN,0.0046,0.0036,NaN
,,1168.75,0.1078,0.2299,NaN,0.0147,0.0313,NaN
,,1171.875,0.1653,0.1557,0,0.0224,0.0211,0
,,1175,0.1796,0.182,0.0527,0.0243,0.0247,0.0071
,,1178.125,0.0144,0.0814,0.0479,0.0019,0.011,0.0065
,,1181.25,0.0742,0.1126,0.0503,0.01,0.0152,0.0068
,,1184.375,0.091,0.1389,0.0407,0.0122,0.0187,0.0055
,,1187.5,0.1389,0.1341,0.0982,0.0186,0.018,0.0132
,,1190.625,0.0599,0.0431,0.0335,0.008,0.0058,0.0045
,,1193.75,0.0407,0.0886,0.1198,0.0054,0.0118,0.016
,,1196.875,0.0599,0.0407,0.0575,0.008,0.0054,0.0076
,,1200,0.1054,0.2347,0.0431,0.014,0.0311,0.0057
,,1203.125,0.0503,0.0671,0.0479,0.0067,0.0089,0.0063
